id,energy,valence,danceability,acousticness,speechiness,liveness,instrumentalness,loudness,tempo
26,0.309,0.664,0.62,0.788,0.0495,0.146,0.0,-9.209,145.363
27,0.429,0.52,0.633,0.0444,0.0381,0.132,0.0,-6.784,143.793
28,0.309,0.664,0.62,0.788,0.0495,0.146,0.0,-9.209,145.363
29,0.309,0.664,0.62,0.788,0.0495,0.146,0.0,-9.209,145.363
30,0.309,0.664,0.62,0.788,0.0495,0.146,0.0,-9.209,145.363
31,0.309,0.664,0.62,0.788,0.0495,0.146,0.0,-9.209,145.363
32,0.455,0.564,0.593,0.366,0.0388,0.0914,0.0,-8.192,202.019
33,0.206,0.202,0.296,0.782,0.0412,0.0959,0.000225,-11.799,165.4
34,0.206,0.202,0.296,0.782,0.0412,0.0959,0.000225,-11.799,165.4
35,0.206,0.202,0.296,0.782,0.0412,0.0959,0.000225,-11.799,165.4
36,0.153,0.18,0.409,0.939,0.0306,0.108,2.56e-05,-10.74,85.262
37,0.0952,0.316,0.501,0.963,0.054,0.0915,1.58e-05,-12.931,138.016
38,0.326,0.414,0.606,0.841,0.0294,0.139,0.0,-10.031,91.626
39,0.153,0.18,0.409,0.939,0.0306,0.108,2.56e-05,-10.74,85.262
40,0.519,0.326,0.474,0.281,0.0253,0.107,0.0,-5.291,151.832
41,0.301,0.142,0.568,0.796,0.0373,0.118,3.37e-06,-10.163,88.029
42,0.686,0.725,0.568,0.15,0.033,0.0881,1.81e-06,-6.635,172.075
43,0.686,0.725,0.568,0.15,0.033,0.0881,1.81e-06,-6.635,172.075
44,0.666,0.498,0.476,0.314,0.0446,0.342,0.0,-3.438,148.155
45,0.686,0.725,0.568,0.15,0.033,0.0881,1.81e-06,-6.635,172.075
46,0.686,0.725,0.568,0.15,0.033,0.0881,1.81e-06,-6.635,172.075
47,0.686,0.725,0.568,0.15,0.033,0.0881,1.81e-06,-6.635,172.075
48,0.686,0.725,0.568,0.15,0.033,0.0881,1.81e-06,-6.635,172.075
49,0.686,0.725,0.568,0.15,0.033,0.0881,1.81e-06,-6.635,172.075
50,0.2,0.308,0.596,0.91,0.0305,0.0884,0.000183,-10.424,107.893
51,0.914,0.56,0.373,0.076,0.0565,0.669,0.0,-4.185,168.21
52,0.652,0.298,0.494,0.0754,0.0314,0.125,0.00256,-5.863,137.018
53,0.393,0.564,0.447,0.785,0.038,0.28,0.0,-8.65,73.139
54,0.331,0.407,0.576,0.894,0.0306,0.129,3.44e-05,-9.389,149.02
55,0.89,0.273,0.536,0.078,0.0375,0.131,0.0202,-5.222,121.974
56,0.333,0.159,0.526,0.91,0.0314,0.111,0.168,-13.02,94.951
57,0.381,0.502,0.501,0.687,0.036,0.119,0.00133,-9.448,80.075
58,0.275,0.231,0.27,0.834,0.0356,0.146,0.0,-10.357,168.964
59,0.507,0.265,0.731,0.572,0.046,0.0912,0.0,-6.477,117.969
60,0.457,0.415,0.375,0.868,0.0315,0.191,0.0145,-7.018,174.839
61,0.791,0.217,0.43,0.0726,0.0302,0.11,0.0193,-5.419,171.864
62,0.282,0.435,0.616,0.983,0.0331,0.13,0.833,-15.317,96.638
63,0.347,0.36,0.705,0.674,0.0301,0.12,0.0,-8.249,80.057
64,0.255,0.285,0.582,0.772,0.0306,0.0889,0.0,-10.254,139.884
65,0.274,0.207,0.549,0.798,0.0379,0.103,6.63e-06,-12.565,86.664
66,0.355,0.48,0.787,0.896,0.0288,0.111,0.0201,-11.429,99.978
67,0.303,0.172,0.397,0.381,0.0435,0.101,0.0,-7.508,81.05
68,0.42,0.196,0.548,0.198,0.0277,0.0899,4.46e-06,-7.842,128.012
69,0.403,0.264,0.787,0.603,0.033,0.131,0.00857,-11.989,118.042
70,0.573,0.346,0.484,0.0882,0.0298,0.15,1.14e-06,-6.183,139.966
71,0.416,0.125,0.382,0.0733,0.0302,0.0719,0.0,-9.303,102.089
72,0.575,0.428,0.541,0.677,0.0491,0.102,0.215,-9.463,91.98
73,0.473,0.54,0.607,0.712,0.034,0.66,0.0,-8.555,119.698
74,0.595,0.117,0.417,0.158,0.0396,0.101,0.000269,-7.84,147.928
75,0.454,0.515,0.572,0.477,0.0258,0.0974,1.37e-05,-10.286,140.182
76,0.913,0.519,0.709,0.0182,0.0748,0.167,0.0,-5.148,108.024
77,0.342,0.253,0.537,0.645,0.0273,0.0687,0.266,-13.553,109.236
78,0.336,0.335,0.602,0.883,0.0369,0.143,0.0017,-11.106,90.894
79,0.638,0.6,0.643,0.204,0.0407,0.0707,0.0,-4.947,82.001
80,0.7,0.37,0.451,0.455,0.0431,0.405,0.00233,-6.597,150.055
81,0.391,0.202,0.546,0.784,0.063,0.0552,2.72e-06,-10.786,139.669
82,0.327,0.298,0.561,0.902,0.0327,0.111,0.000469,-10.835,161.858
83,0.541,0.3,0.479,0.74,0.0543,0.108,0.0,-9.862,85.994
84,0.541,0.3,0.479,0.74,0.0543,0.108,0.0,-9.862,85.994
85,0.4,0.351,0.436,0.904,0.0272,0.125,0.00105,-11.485,100.734
86,0.836,0.758,0.551,0.00502,0.0524,0.0425,2.1e-05,-3.838,185.063
87,0.153,0.18,0.409,0.939,0.0306,0.108,2.56e-05,-10.74,85.262
88,0.153,0.18,0.409,0.939,0.0306,0.108,2.56e-05,-10.74,85.262
89,0.845,0.392,0.6,0.048,0.0311,0.24,0.0,-7.076,97.631
90,0.145,0.218,0.492,0.872,0.0422,0.107,9.68e-06,-14.504,90.078
91,0.145,0.218,0.492,0.872,0.0422,0.107,9.68e-06,-14.504,90.078
92,0.555,0.33,0.447,0.218,0.0349,0.124,3.46e-06,-6.018,117.888
93,0.145,0.218,0.492,0.872,0.0422,0.107,9.68e-06,-14.504,90.078
94,0.145,0.218,0.492,0.872,0.0422,0.107,9.68e-06,-14.504,90.078
95,0.145,0.218,0.492,0.872,0.0422,0.107,9.68e-06,-14.504,90.078
96,0.145,0.218,0.492,0.872,0.0422,0.107,9.68e-06,-14.504,90.078
97,0.145,0.218,0.492,0.872,0.0422,0.107,9.68e-06,-14.504,90.078
98,0.937,0.805,0.661,0.322,0.0979,0.19,1.04e-06,-5.157,105.549
99,0.78,0.693,0.603,0.139,0.0438,0.164,0.0,-5.531,100.499
100,0.655,0.542,0.626,0.503,0.0263,0.13,0.0,-6.69,92.003
101,0.38,0.617,0.794,0.762,0.0477,0.262,0.0,-8.769,114.99
102,0.279,0.0951,0.52,0.894,0.0547,0.103,0.000105,-10.739,69.642
103,0.658,0.683,0.545,0.496,0.0474,0.105,0.0,-7.174,76.971
104,0.266,0.307,0.728,0.872,0.0293,0.114,1.03e-05,-7.322,115.189
105,0.407,0.257,0.66,0.236,0.0571,0.109,0.0,-8.381,133.86
106,0.161,0.325,0.357,0.971,0.0388,0.358,1.4e-05,-10.667,83.449
107,0.154,0.36,0.479,0.915,0.0352,0.0974,0.0,-11.282,147.207
108,0.769,0.385,0.592,0.319,0.0311,0.137,4.66e-06,-5.268,102.033
109,0.454,0.34,0.7,0.55,0.0388,0.121,0.0022,-10.39,80.011
110,0.197,0.148,0.402,0.858,0.0295,0.114,1.05e-06,-10.775,100.044
111,0.378,0.085,0.507,0.852,0.0332,0.0937,0.000212,-9.019,135.86
112,0.226,0.188,0.619,0.959,0.0641,0.106,4.42e-05,-13.453,124.96
113,0.571,0.29,0.404,0.182,0.0303,0.129,2.08e-05,-5.069,147.01
114,0.79,0.197,0.418,0.0284,0.0506,0.117,9.96e-06,-6.599,175.975
115,0.299,0.341,0.633,0.833,0.0353,0.109,0.0,-7.798,147.549
116,0.0392,0.601,0.565,0.835,0.045,0.117,0.183,-28.276,125.399
117,0.0755,0.575,0.664,0.91,0.0389,0.164,0.0,-19.836,80.004
118,0.303,0.142,0.585,0.694,0.0398,0.115,0.0,-10.058,136.703
119,0.271,0.21,0.65,0.794,0.0314,0.196,6.9e-05,-11.081,78.036
120,0.213,0.0998,0.534,0.884,0.0283,0.107,0.0,-8.64,98.385
121,0.386,0.612,0.456,0.835,0.032,0.389,0.108,-10.293,165.733
122,0.234,0.145,0.409,0.338,0.0323,0.0895,5e-05,-13.711,139.832
123,0.53,0.102,0.502,0.805,0.0266,0.0728,0.000738,-9.573,78.046
124,0.117,0.318,0.496,0.933,0.0301,0.126,0.0,-12.884,78.068
125,0.724,0.333,0.585,0.315,0.0745,0.0448,0.0681,-6.513,187.484
126,0.253,0.294,0.582,0.827,0.0259,0.091,2.95e-05,-11.43,90.186
127,0.14,0.392,0.637,0.903,0.0407,0.107,0.0,-11.472,139.78
128,0.623,0.617,0.672,0.241,0.0297,0.0848,0.0,-5.699,92.018
129,0.272,0.113,0.422,0.496,0.0353,0.0704,1.07e-05,-10.772,143.413
130,0.801,0.431,0.47,0.0758,0.0352,0.218,3.53e-05,-6.426,173.92
131,0.864,0.534,0.564,0.0761,0.0341,0.182,0.0,-5.121,95.984
132,0.495,0.116,0.521,0.128,0.027,0.296,0.0,-7.756,135.061
133,0.81,0.79,0.616,0.369,0.0668,0.107,0.0,-6.51,97.994
134,0.812,0.74,0.615,0.184,0.0458,0.328,0.0,-6.573,98.954
135,0.305,0.0974,0.478,0.675,0.0306,0.169,0.00139,-13.062,108.66
136,0.541,0.321,0.479,0.737,0.0545,0.108,0.0,-9.862,85.994
137,0.767,0.664,0.587,0.225,0.0449,0.112,0.0,-5.713,100.38
138,0.569,0.264,0.514,0.601,0.03,0.218,2.21e-06,-7.866,142.597
139,0.836,0.727,0.646,0.301,0.0327,0.29,3.23e-05,-6.203,105.991
140,0.711,0.648,0.57,0.119,0.0703,0.352,0.0,-4.155,163.117
141,0.199,0.262,0.678,0.957,0.0307,0.0968,3.23e-06,-9.785,72.006
142,0.867,0.795,0.589,0.041,0.0385,0.306,0.0,-4.523,94.52
143,0.926,0.548,0.626,0.0265,0.0477,0.159,0.0,-4.441,99.997
144,0.556,0.36,0.686,0.532,0.0271,0.0922,0.0,-8.5,112.997
145,0.832,0.802,0.56,0.108,0.0352,0.232,0.0,-5.595,100.957
146,0.793,0.892,0.619,0.263,0.0661,0.0828,0.0,-5.964,177.991
147,0.278,0.594,0.56,0.733,0.0921,0.112,0.0,-12.501,102.187
148,0.805,0.359,0.595,0.0167,0.0543,0.0691,1.06e-05,-7.926,102.44
149,0.827,0.645,0.438,0.0512,0.0328,0.319,0.000402,-6.531,143.377
150,0.375,0.106,0.582,0.702,0.0329,0.136,0.0631,-13.277,129.909
151,0.295,0.14,0.453,0.518,0.0291,0.293,0.00011,-12.881,146.022
152,0.625,0.342,0.636,0.222,0.0277,0.119,5.35e-05,-7.895,93.931
153,0.201,0.4,0.639,0.907,0.0526,0.124,2.26e-05,-16.613,88.107
154,0.423,0.59,0.69,0.883,0.0294,0.111,0.0123,-9.194,130.121
155,0.349,0.444,0.599,0.819,0.0301,0.112,0.0,-9.269,147.913
156,0.264,0.192,0.519,0.918,0.0601,0.237,0.000253,-11.171,140.354
157,0.569,0.275,0.643,0.544,0.0276,0.178,2.17e-05,-7.459,120.507
158,0.624,0.529,0.573,0.471,0.0324,0.114,0.117,-9.076,161.025
159,0.821,0.613,0.654,0.00666,0.0264,0.228,0.00299,-5.472,111.958
160,0.399,0.217,0.426,0.761,0.034,0.118,0.00112,-8.447,115.979
161,0.21,0.323,0.505,0.907,0.0295,0.11,0.0,-11.349,80.721
162,0.43,0.731,0.693,0.565,0.0442,0.0928,0.0,-9.395,151.001
163,0.287,0.557,0.739,0.969,0.059,0.111,0.961,-14.007,80.64
164,0.146,0.0915,0.453,0.867,0.0343,0.0945,3.49e-06,-8.976,137.905
165,0.54,0.249,0.606,0.182,0.0339,0.144,0.000144,-6.271,79.952
166,0.646,0.563,0.595,0.11,0.0327,0.258,0.0,-5.495,120.049
167,0.145,0.235,0.736,0.855,0.0336,0.108,0.0,-9.215,129.832
168,0.126,0.279,0.479,0.966,0.0303,0.113,0.0,-13.974,96.327
169,0.786,0.573,0.583,0.0208,0.0301,0.188,0.0,-3.142,123.055
170,0.291,0.376,0.549,0.858,0.0388,0.129,0.000846,-13.457,75.153
171,0.489,0.398,0.418,0.287,0.0323,0.42,0.0288,-8.373,72.891
172,0.12,0.338,0.498,0.851,0.0487,0.171,0.0,-17.721,121.187
173,0.135,0.471,0.769,0.986,0.061,0.106,0.905,-12.049,103.939
174,0.469,0.0568,0.434,0.52,0.0265,0.108,0.000328,-7.849,136.282
175,0.198,0.217,0.452,0.931,0.0335,0.1,2.24e-06,-9.374,119.499
176,0.5,0.177,0.544,0.0325,0.026,0.109,3.78e-06,-8.253,93.621
177,0.187,0.233,0.662,0.969,0.0268,0.0922,0.000273,-9.003,104.988
178,0.13,0.179,0.497,0.841,0.0436,0.111,0.0,-15.571,130.769
179,0.291,0.355,0.528,0.914,0.0401,0.121,0.0,-9.696,76.805
180,0.522,0.446,0.461,0.36,0.043,0.123,0.0,-7.513,157.768
181,0.506,0.705,0.483,0.394,0.0347,0.0946,0.0,-6.058,87.337
182,0.423,0.288,0.392,0.27,0.0348,0.117,0.0,-7.813,113.537
183,0.2,0.164,0.42,0.929,0.0492,0.0758,0.49,-18.827,87.248
184,0.716,0.435,0.657,0.014,0.0301,0.0483,0.0,-5.675,93.924
185,0.185,0.196,0.495,0.692,0.0288,0.109,0.00403,-13.824,101.89
186,0.499,0.144,0.55,0.472,0.0338,0.0798,2.26e-06,-9.502,86.966
187,0.359,0.267,0.534,0.449,0.0296,0.331,1.2e-05,-9.311,131.804
188,0.52,0.357,0.378,0.777,0.0382,0.0979,0.0888,-10.965,73.744
189,0.349,0.156,0.606,0.764,0.0319,0.112,0.306,-13.967,80.071
190,0.555,0.0992,0.486,0.818,0.0271,0.109,0.00269,-9.466,77.987
191,0.446,0.262,0.577,0.554,0.0313,0.116,0.0782,-11.343,81.005
192,0.407,0.276,0.59,0.861,0.0361,0.094,9.95e-06,-9.079,145.852
193,0.315,0.4,0.538,0.96,0.0291,0.0979,0.00596,-10.057,91.921
194,0.158,0.142,0.447,0.872,0.036,0.0816,1.58e-06,-7.571,140.942
195,0.58,0.526,0.401,0.906,0.0541,0.134,0.217,-6.86,173.277
196,0.311,0.4,0.502,0.617,0.0285,0.129,4.32e-05,-13.421,107.612
197,0.612,0.857,0.678,0.1,0.0339,0.164,0.316,-9.764,118.381
198,0.406,0.862,0.65,0.568,0.0761,0.484,0.0,-13.492,79.642
199,0.399,0.342,0.649,0.184,0.0256,0.113,0.000108,-7.894,97.498
200,0.445,0.336,0.523,0.188,0.0329,0.18,0.0,-6.359,78.957
201,0.162,0.366,0.538,0.847,0.0299,0.114,0.0,-13.31,94.981
202,0.429,0.396,0.519,0.658,0.0317,0.111,0.0,-7.707,129.491
203,0.103,0.179,0.585,0.801,0.0309,0.126,0.0,-12.682,133.057
204,0.763,0.394,0.578,0.0916,0.0998,0.0743,2.8e-06,-4.824,96.808
205,0.891,0.333,0.223,0.325,0.138,0.287,0.0,-3.626,159.888
206,0.157,0.224,0.382,0.878,0.0361,0.112,0.000473,-16.157,136.11
207,0.374,0.0979,0.642,0.423,0.032,0.435,1.54e-06,-10.606,129.863
208,0.239,0.137,0.436,0.861,0.0282,0.0902,8.48e-05,-12.83,73.761
209,0.326,0.628,0.702,0.705,0.0272,0.168,0.0,-6.638,79.904
210,0.292,0.375,0.593,0.828,0.0364,0.174,0.0,-12.755,111.121
211,0.186,0.203,0.285,0.76,0.0288,0.104,7.3e-05,-12.729,153.848
212,0.625,0.342,0.636,0.222,0.0277,0.119,5.35e-05,-7.895,93.931
213,0.285,0.53,0.698,0.927,0.0553,0.0883,0.0,-7.632,135.027
214,0.439,0.275,0.601,0.0642,0.0269,0.0942,0.0,-7.589,99.976
215,0.298,0.243,0.332,0.875,0.0569,0.114,0.00784,-14.174,83.555
216,0.452,0.287,0.386,0.417,0.0278,0.0881,0.0,-7.715,169.837
217,0.668,0.183,0.62,0.088,0.0305,0.362,0.0,-5.719,118.013
218,0.281,0.485,0.394,0.826,0.0414,0.0854,0.0,-11.12,90.044
219,0.552,0.635,0.59,0.654,0.0407,0.128,0.000359,-10.496,155.101
220,0.717,0.212,0.539,0.000298,0.031,0.125,0.111,-7.385,117.973
221,0.138,0.3,0.543,0.791,0.0531,0.185,0.0,-14.331,115.65
222,0.547,0.208,0.62,0.112,0.0248,0.19,0.0,-6.772,98.032
223,0.311,0.553,0.761,0.647,0.0692,0.15,0.0,-10.597,109.891
224,0.122,0.339,0.674,0.882,0.0427,0.139,0.0,-17.963,130.014
225,0.358,0.187,0.429,0.614,0.0346,0.0875,0.0,-9.076,134.279
226,0.101,0.155,0.456,0.876,0.038,0.0776,1.74e-06,-11.75,139.896
227,0.567,0.374,0.647,0.0318,0.0328,0.133,0.0,-8.971,125.871
228,0.213,0.16,0.322,0.611,0.0318,0.113,0.0,-14.915,160.389
229,0.381,0.42,0.482,0.455,0.0311,0.114,0.00295,-13.93,81.712
230,0.207,0.262,0.393,0.877,0.0392,0.104,0.0,-11.865,163.99
231,0.207,0.209,0.423,0.887,0.0289,0.0948,0.0,-8.811,149.664
232,0.152,0.133,0.522,0.788,0.0303,0.148,2.37e-05,-14.996,144.055
233,0.313,0.261,0.547,0.612,0.0315,0.111,7.97e-06,-7.982,133.737
234,0.321,0.577,0.504,0.149,0.0316,0.147,0.000107,-13.807,170.134
235,0.161,0.171,0.466,0.979,0.0492,0.231,0.000238,-14.498,139.167
236,0.28,0.292,0.619,0.73,0.0317,0.103,0.0,-10.238,129.948
237,0.429,0.229,0.596,0.775,0.0377,0.0962,0.0107,-10.16,148.086
238,0.169,0.178,0.645,0.844,0.0317,0.109,0.00019,-15.744,167.826
239,0.256,0.13,0.522,0.86,0.0258,0.142,0.000806,-11.216,76.349
240,0.168,0.29,0.681,0.793,0.0291,0.109,0.000134,-13.397,128.615
241,0.364,0.371,0.736,0.741,0.0349,0.0932,0.0,-5.966,110.023
242,0.528,0.527,0.451,0.366,0.0364,0.0811,0.0,-6.984,139.28
243,0.674,0.92,0.371,0.169,0.0488,0.0889,0.0,-3.72,87.603
244,0.572,0.947,0.731,0.105,0.0445,0.133,0.00012,-7.889,154.038
245,0.334,0.8,0.69,0.947,0.066,0.0895,0.0,-5.626,74.721
246,0.307,0.24,0.594,0.796,0.0249,0.15,0.0414,-13.062,94.026
247,0.917,0.936,0.608,0.236,0.0601,0.13,0.0,-5.341,117.875
248,0.494,0.621,0.687,0.324,0.0505,0.0867,5.5e-05,-9.421,93.269
249,0.494,0.621,0.687,0.324,0.0505,0.0867,5.5e-05,-9.421,93.269
250,0.15,0.361,0.652,0.923,0.0363,0.102,0.0,-12.699,104.018
251,0.241,0.182,0.765,0.873,0.0373,0.111,0.0,-8.865,123.95
252,0.249,0.363,0.589,0.717,0.0329,0.106,0.0,-10.086,150.096
253,0.604,0.351,0.588,0.343,0.024,0.252,6.86e-05,-7.602,92.02
254,0.203,0.479,0.735,0.854,0.0539,0.105,0.00164,-13.237,113.913
255,0.147,0.328,0.655,0.88,0.0371,0.266,0.0,-14.409,116.103
256,0.819,0.468,0.363,0.0591,0.0634,0.0988,0.0,-3.128,122.527
257,0.263,0.315,0.473,0.814,0.033,0.142,0.0,-8.609,87.145
258,0.768,0.493,0.676,0.149,0.0294,0.345,0.00147,-5.695,105.999
259,0.221,0.228,0.41,0.768,0.0315,0.106,0.0,-11.673,139.529
260,0.217,0.373,0.439,0.933,0.0413,0.126,0.0,-13.166,144.413
261,0.347,0.0797,0.582,0.317,0.0305,0.111,0.00678,-14.769,97.957
262,0.127,0.149,0.426,0.863,0.0648,0.0993,4.3e-06,-13.287,62.535
263,0.261,0.361,0.696,0.737,0.0361,0.11,1.24e-05,-12.107,136.053
264,0.24,0.167,0.549,0.947,0.0338,0.106,0.0,-7.778,119.58
265,0.192,0.317,0.541,0.893,0.0282,0.193,0.0,-13.995,139.938
266,0.711,0.352,0.662,0.0686,0.0279,0.085,1.17e-05,-4.924,119.989
267,0.185,0.458,0.665,0.913,0.0381,0.334,0.0,-13.852,82.474
268,0.175,0.352,0.591,0.927,0.038,0.133,0.0,-12.959,139.902
269,0.183,0.486,0.489,0.907,0.033,0.106,3.95e-05,-14.769,79.961
270,0.083,0.597,0.618,0.745,0.057,0.146,0.000123,-23.665,90.865
271,0.319,0.258,0.664,0.862,0.0271,0.121,0.0,-8.149,105.036
272,0.266,0.35,0.408,0.875,0.0404,0.104,0.000498,-12.9,143.651
273,0.132,0.266,0.623,0.893,0.035,0.217,0.0,-13.668,82.105
274,0.214,0.35,0.494,0.92,0.0363,0.107,1.07e-05,-11.041,125.981
275,0.183,0.134,0.374,0.897,0.0281,0.109,0.0387,-13.225,82.042
276,0.455,0.396,0.559,0.421,0.0306,0.103,2.08e-06,-8.937,159.985
277,0.408,0.411,0.642,0.729,0.0396,0.185,0.0,-8.168,119.81
278,0.618,0.344,0.48,0.844,0.0501,0.325,8.93e-05,-7.335,82.051
279,0.0937,0.147,0.271,0.939,0.0367,0.108,0.0,-15.035,164.721
280,0.695,0.172,0.594,0.19,0.0259,0.119,3.58e-06,-8.872,104.977
281,0.344,0.0987,0.574,0.421,0.0345,0.0804,0.0,-8.995,147.924
282,0.298,0.31,0.647,0.861,0.0311,0.12,0.0,-7.91,106.244
283,0.0399,0.155,0.486,0.953,0.0405,0.115,8.74e-06,-21.56,95.066
284,0.0423,0.14,0.734,0.916,0.0583,0.108,0.0,-24.831,123.905
285,0.231,0.186,0.711,0.832,0.0346,0.105,0.00115,-13.033,125.062
286,0.174,0.305,0.629,0.616,0.141,0.118,0.0,-9.697,134.295
287,0.406,0.541,0.615,0.541,0.0358,0.0982,1.67e-05,-12.619,166.035
288,0.357,0.438,0.503,0.727,0.0272,0.128,0.0,-9.36,136.135
289,0.183,0.219,0.45,0.762,0.0309,0.11,3.41e-06,-9.003,61.192
290,0.461,0.202,0.525,0.775,0.0878,0.362,2.14e-06,-9.489,147.997
291,0.934,0.422,0.555,0.00268,0.113,0.122,0.0,-5.04,144.874
292,0.363,0.543,0.678,0.872,0.0318,0.0798,0.000101,-10.9,75.004
293,0.452,0.321,0.555,0.694,0.0554,0.0595,0.0,-9.636,179.921
294,0.396,0.16,0.586,0.896,0.0319,0.0992,0.543,-9.953,142.591
295,0.142,0.288,0.588,0.863,0.0329,0.0953,0.000162,-15.196,119.656
296,0.652,0.75,0.724,0.46,0.0247,0.101,0.000142,-6.869,106.911
297,0.224,0.2,0.567,0.887,0.0299,0.109,0.0,-10.024,124.44
298,0.839,0.967,0.544,0.784,0.0568,0.341,0.0,-8.991,87.609
299,0.68,0.903,0.555,0.126,0.0323,0.0506,0.000906,-8.358,84.518
300,0.306,0.424,0.69,0.805,0.0356,0.0968,0.0,-9.193,115.671
301,0.317,0.177,0.513,0.365,0.0363,0.118,0.003,-17.036,84.853
302,0.152,0.304,0.494,0.947,0.0313,0.123,0.0,-9.843,134.178
303,0.267,0.391,0.634,0.841,0.044,0.11,0.0,-7.396,143.514
304,0.471,0.466,0.694,0.411,0.0281,0.233,0.0,-8.62,95.003
305,0.11,0.152,0.643,0.876,0.0294,0.112,1.38e-05,-14.28,101.995
306,0.41,0.354,0.422,0.00855,0.0467,0.104,0.0,-14.151,83.952
307,0.288,0.293,0.543,0.667,0.0258,0.113,0.0,-8.608,95.435
308,0.282,0.234,0.332,0.825,0.044,0.104,0.0,-7.257,187.057
309,0.121,0.461,0.43,0.908,0.0404,0.161,0.0,-15.148,91.211
310,0.197,0.348,0.432,0.87,0.0414,0.11,0.0,-9.251,163.985
311,0.769,0.385,0.592,0.319,0.0311,0.137,4.66e-06,-5.268,102.033
312,0.297,0.766,0.733,0.935,0.0359,0.108,2.75e-06,-14.452,103.953
313,0.249,0.329,0.394,0.927,0.0396,0.115,0.0,-10.484,79.549
314,0.234,0.19,0.41,0.798,0.0421,0.108,0.00304,-15.236,93.72
315,0.158,0.498,0.48,0.809,0.0807,0.117,0.886,-15.239,86.107
316,0.625,0.191,0.255,0.63,0.0323,0.0976,0.000211,-8.31,84.611
317,0.328,0.599,0.524,0.817,0.0403,0.118,0.0,-10.001,99.941
318,0.653,0.416,0.464,0.199,0.101,0.0979,0.0,-7.514,162.196
319,0.331,0.0877,0.659,0.809,0.0321,0.0996,0.0,-8.987,105.01
320,0.49,0.437,0.592,0.395,0.0263,0.333,0.0,-8.508,99.994
321,0.851,0.644,0.467,0.000353,0.0526,0.33,0.0,-4.203,93.873
322,0.391,0.101,0.564,0.478,0.0311,0.127,0.0,-7.655,130.03
323,0.384,0.25,0.498,0.818,0.0976,0.13,0.000937,-10.752,79.856
324,0.428,0.73,0.386,0.951,0.0295,0.162,0.882,-9.949,172.311
325,0.259,0.246,0.702,0.878,0.0403,0.108,5.34e-06,-9.73,120.102
326,0.265,0.2,0.747,0.745,0.0354,0.11,0.0169,-14.141,138.017
327,0.498,0.221,0.522,0.0758,0.0257,0.25,1.51e-06,-7.247,145.908
328,0.438,0.447,0.715,0.353,0.0373,0.108,1.75e-06,-6.147,81.07
329,0.374,0.0979,0.642,0.423,0.032,0.435,1.54e-06,-10.606,129.863
330,0.415,0.421,0.354,0.797,0.0289,0.107,0.0,-6.578,175.537
331,0.158,0.142,0.447,0.872,0.036,0.0816,1.58e-06,-7.571,140.942
332,0.748,0.872,0.687,0.24,0.0785,0.373,0.0,-4.54,88.944
333,0.914,0.971,0.588,0.832,0.0341,0.103,0.856,-7.442,128.553
334,0.205,0.161,0.456,0.92,0.0313,0.149,0.00011,-8.437,117.663
335,0.248,0.158,0.512,0.75,0.0275,0.114,2.96e-05,-10.359,109.692
